addrCd,gungu,sido,resNm,rnum,csForCnt,csNatCnt
1171,송파구,서울특별시,서울스카이,14,0,0
1171,송파구,서울특별시,아쿠아리움,15,0,0
1111,종로구,서울특별시,창덕궁,1,45158,70020
1111,종로구,서울특별시,경복궁,2,77248,220494
1111,종로구,서울특별시,창경궁,3,6114,42008
1111,종로구,서울특별시,종묘,4,5303,19286
1117,용산구,서울특별시,국립중앙박물관,5,8471,157178
1114,중구,서울특별시,덕수궁,6,29393,100321
1123,동대문구,서울특별시,세종대왕기념관,7,0,0
1123,동대문구,서울특별시,서울약령시 한의약박물관,8,225,1596
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,9,1,3397
1144,마포구,서울특별시,트릭아이미술관,10,15663,3437
1165,서초구,서울특별시,헌릉ㆍ인릉,11,3,2461
1168,강남구,서울특별시,선릉·정릉,12,953,26183
1171,송파구,서울특별시,롯데월드,13,0,0
1171,송파구,서울특별시,서울스카이,14,0,0
1171,송파구,서울특별시,아쿠아리움,15,0,0
1111,종로구,서울특별시,창덕궁,1,67740,133555
1111,종로구,서울특별시,경복궁,2,97644,341280
1111,종로구,서울특별시,창경궁,3,11766,81847
1111,종로구,서울특별시,종묘,4,5903,21873
1117,용산구,서울특별시,국립중앙박물관,5,12205,152146
1123,동대문구,서울특별시,세종대왕기념관,6,0,0
1123,동대문구,서울특별시,서울약령시 한의약박물관,7,180,1808
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,8,22,9612
1141,서대문구,서울특별시,서대문자연사박물관,9,0,29995
1144,마포구,서울특별시,트릭아이미술관,10,20986,3349
1165,서초구,서울특별시,헌릉ㆍ인릉,11,22,3398
1171,송파구,서울특별시,롯데월드,12,0,0
1171,송파구,서울특별시,서울스카이,13,0,0
1171,송파구,서울특별시,아쿠아리움,14,0,0
1111,종로구,서울특별시,창덕궁,1,63556,128136
1111,종로구,서울특별시,경복궁,2,69268,407217
1111,종로구,서울특별시,창경궁,3,6737,97549
1111,종로구,서울특별시,종묘,4,7145,47178
